,text,user,location
95,Κορονοϊός: Πάνω από 9.000 κρούσματα σε μια μέρα στην Τουρκία ,DIOGENISCHARALA,KAVALA
96,Κορονοϊός - Παυλάκης: Έχουμε μούφα lockdown - Θα είναι τρέλα να ανοίξει η αγορά και τα σχολεία - ΒΙΝΤΕΟ ,enikos_gr,Greece
97,ΖΕΙΔΩΡΟΝ: Κορονοϊός: Δραματική κατάσταση στα νοσοκομεία της Αττικής - Εξαντλήθηκαν οι κλίνες ΜΕΘ - Βγήκαν ακόμη και… ,zeidoron,Ζωγράφου
98, Ευτυχώς π γύρισε ο Ερντογάν με τ παπόρια του στο Αιγαίο κ υπάρχει μια εναλλαγή στα δελτία διότι είχε αρχίζει να κουράζει…,paliakaravana59,"Attiki, Greece"
99,Κορονοϊός εναντίον Ultras ,esquiregreece,"Athens, Greece"
100,"""Δεν ξέρω αν εφαρμόζονται καν τα μέτρα"" #lockdown #κορονοιος #κρουσματα ",thecaller8,
101,Κορονοϊός: Η έγκαιρη χορήγηση πλάσματος σε ηλικιωμένους μείωσε την πιθανότητα σοβαρής νόσησης | mononews #mononewsGR ,mononewsgr,"Αττική, Ελλάς"
102,“Special Report” – Κορονοϊός: Οι δομές για ηλικιωμένους και οι μεταλλάξεις (βίντεο) … ,AntennaNews,Greece
103,Κορονοϊός: Γιατί εκτοξεύθηκαν τα κρούσματα στην Αττική – Τι υποψιάζονται οι επιστήμονες ,apokalyptikodel,
104, Κορονοϊός: Προς παράταση το lockdown – Τα σενάρια και οι ημερομηνίες για λιανεμπόριο και σχολεία  μέσ…,pvlimni,"Λίμνη , Εύβοια"
105, Δύο τυχαίες εικονες#2randompics#κορονοϊός ,MarilenaP_,"38.009467,23.773767"
106,Κορονοϊός: Προς παράταση το lockdown  ,GrArthro,
107," Και βγαίνει λέει ο Χαρδαλιας και λέει Κορονοιος είναι ένας επικίνδυνος ιός,μας εξαπάτησε με το βαθύ υποκριτικο του ταλ…",adripb23,
108, Ευτυχώς π γύρισε ο Ερντογάν με τ παπόρια του στο Αιγαίο κ υπάρχει μια εναλλαγή στα δελτία διότι είχε αρχίζει να κουράζει…,centaurChiron1,Ελλάς
109, Σήμερα ανακοινώθηκαν πάνω από 2000 #κρουσματα Καθόλου περίεργο όταν ο  αυτές τις μέρες αναφέρεται σε ραγδαία αύξηση…,manast90,Καισαριανή
110, Ευτυχώς π γύρισε ο Ερντογάν με τ παπόρια του στο Αιγαίο κ υπάρχει μια εναλλαγή στα δελτία διότι είχε αρχίζει να κουράζει…,paradiselost202,ΔΥΤΙΚΗ ΜΑΝΗ!
111, Δύο τυχαίες εικονες#2randompics#κορονοϊός ,BananaJoeReload,Ελλάς
112,Ο κορονοϊός σε Ροδόπη και Ξάνθη ,SporadesTv,sporades
113,"Κορονοϊός: 2147 νέα κρούσματα κορονοϊού, 22 νεκροί και 357 διασωληνωμένοι ",lefkadaonline,Ελλάς
114,Κορονοϊός: Γιατί εκτοξεύθηκε η διασπορά στην Αττική – Τι υποψιάζονται οι επιστήμονες  ,loutraki365,
115," Νομίζω μάλλον έχω ένα πολύ μυστήριο και θανατηφόρο “κάτι” αλλά ‘ντάξει δεν είναι κορονοϊός, το τσέκαρα με βότκα.",panosepi,"Baden-Württemberg, Germany"
116,"""Τρέλα να ανοίξουν αγορά και σχολεία"" #κορονοιος #κρουσματα #lockdown ",thecaller8,
117," Και βγαίνει λέει ο Χαρδαλιας και λέει Κορονοιος είναι ένας επικίνδυνος ιός,μας εξαπάτησε με το βαθύ υποκριτικο του ταλ…",Hercjohn,Ανταρκτική
118,Κορονοϊός: Συρροή κρουσμάτων σε Μονάδα Φροντίδας Ηλικιωμένων στο Γέρακα (βίντεο) -  ,irafinagr,
119,Κορονοϊός: Γιατί εκτοξεύθηκαν τα κρούσματα στην Αττική – Τι υποψιάζονται οι επιστήμονες  ,newsitamea,
120, Δύο τυχαίες εικονες#2randompics#κορονοϊός ,matzyian,Γιδοχωρα
121,"Κορονοϊός: Ανατροπή μετά την ""εκτίναξη"" των κρουσμάτων - Το σενάριο για lockdown έως τις 15 Μαρτίου ",enikos_gr,Greece
