,text,user,location
121,1 κρούσμα στην Π.Ε.Γρεβενών-10 στη Δ.Μακεδονία-880 Πανελλαδικά κρούσμα-στην-π-ε-γρεβενών-10-στη-δ-μακεδο/,eGrevenaPortal,"Grevena, Greece"
122, Η διασπορά μπορούσε να περιοριστεί μόνο με ιχνηλάτιση. Ξέρω κρούσμα που ο ΕΟΔΥ μόνο ρώτησε πού δουλεύε… ,Strumfitina,Greece
123, άσε τις βλακείες και θα σε «χρεώσουν» ως κρούσμα 🤣,chrikoum,
124,"  ντροπή, αίσχος! Καθηγήτρια στο Λύκειο Σολέας χωρίς μάσκα στην τάξη! Σήμερα είναι θετικό κρο… ",andrioannou,
125,Νέο κρούσμα κορωνοϊού στο 1ο Γυμνάσιο Τρίπολης ,ArcadiaPortal,"Tripoli, Greece"
126,ΕΟΔΥ: Κανένα κρούσμα Covid-19 σε Ροδόπη και Ξάνθη ,SporadesTv,sporades
127,Απολύμανση στο Δημαρχείο Ηγουμενίτσας μετά από κρούσμα κορωνοϊού - ΕΝΗΜΕΡΩΣΗ On Line ,enimerosi_news,Corfu
128,"Χίος : Κλείνει προληπτικά το LIDL, μετά από κρούσμα κορωναϊού ",MikeArgi,Greece
129,"Πωωω, δυνατό flashback, θυμάμαι τον πανικό που είχε επικρατήσει τότε στην Ιταλία και εμείς εδώ ήμασταν τελείως φοβι… ",social_filele,
130,Μοριακά τεστ σε μαθητές του 7ου Δημοτικού μετά από πιθανό νέο κρούσμα ,AlithiaChios,"Χίος, Ελλάς"
131,"Κλείνει προληπτικά το LIDL, μετά από κρούσμα κορωνοϊού  XIOS........",fafali110,
132," Όχι, φρόντιζε ομως για κάποιες μέρες τον πατέρα της που ηταν επιβεβαιωμένο κρούσμα. Δεν θα έπρεπε να βρίσκεται στο σχολικό....",loukrita,
133,Στην Ελλάδα του 2021 σύμφωνα με τα ΜΜΕ ή θύμα θα είσαι ή κρούσμα...,GigouMichail,"Αττική, Ελλάς"
134, Ντροπή ‼️‼️‼️ Ανευθυνότητα σε όλο της το μεγαλείο. Οι οδηγίες είναι ξεκάθαρες...όταν έχουμε έρθει σε επαφ… ,Dennis05532470,
135,"Κλείνει προληπτικά το LIDL, μετά από κρούσμα κορωνοϊού ",AlithiaChios,"Χίος, Ελλάς"
136,Κορωνοϊός: Χωρίς κρούσμα για τρίτη συνεχόμενη μέρα η Ροδόπη - ,fonirodopis,Κομοτηνή
137,Κανένα κρούσμα σήμερα στην Π.Ε. Ξάνθης / 880 στη χώρα ,xanthipost,ΞΑΝΘΗ
138,"Κρούσμα στο ΕΕΕΕΚ Αγ. Νικολάου:  Συνεχίζεται κανονικά η λειτουργία του σχολείου, σε καραντίνα επτά καθηγητές… ",MICHAELBERTAKIS,Grecce Creta Chania
139,Με ύβρεις αντιμετωπίζουν διευθυντικά στελέχη της ΕΡΤ όσους δυσανασχετούν με την υπόθεση Λιγνάδη και τη στάση της  Μ… ,OTypos,
140,Κορονοϊός: 24 νεκροί σε 24 ώρες | 3 κρούσματα στη Μαγνησία | Κανένα κρούσμα στις Β. Σποράδες  μέσω ,skiathoslife,
141,"Κορονοϊός (22/2): 1 νέο κρούσμα στη Χίο, 880 πανελλαδικά, 346 διασωληνωμένοι, 24 θάνατοι  μέσω ",patridachios,"Χίος, Ελλάς"
142,Κορωνοϊός: Μόνο ένα κρούσμα σήμερα στις Κυκλάδες -  ,pstsgr,Greece
143,Xωρίς κρούσμα η Ξάνθη τη Δευτέρα. Μόνο για Έβρο-Καβάλα ανακοίνωσε ο ΕΟΔΥ ,Xanthi2gr,
144,Ένα ‑επισήμως‑ νέο κρούσμα στη Λέσβο ,stonisigr,"Mytilini, Greece"
145,Μόλις...1 νέο κρούσμα κορονοιου σήμερα στην Λέσβο σύμφωνα με τον ΕΟΔΥ  ,LesvosPost,ΜΥΤΙΛΗΝΗ-ΛΕΣΒΟΣ
146,2 νέα κρούσμα στο ν. Λασιθίου ανακοίνωσε ο ΕΟΔΥ -  ,anatolhcom,Άγιος Νικόλαος Κρήτης
147,"2,4,9,12 και 18 Φεβρουαρίου από (1) κρούσμα στη Σύρο(ΕΟΔΥ),(5)σποραδικά σε 20 ημέρες. 19 Φεβρουαρίου (16) κρούσματ… ",MarizaAggelo,
148,1 νέο κρούσμα στη Λέσβο . Κανένα σε Λήμνο και Άγιο Ευστράτιο ,lesvospen,"Λέσβος, Λήμνος&Άγιος Ευστάτιος"
149,"Κοντόνιο, εκεί όπου ξεκίνησε η πανδημία στην Ευρώπη | Πριν από ένα χρόνο, στις 20 Φεβρουαρίου 2020, καταγράφηκε το… ",baphometx,Athens - Greece
150,"Πριν από ένα χρόνο, στις 20 Φεβρουαρίου 2020, καταγράφηκε το πρώτο κρούσμα κορωνοϊού στην Ιταλία και την Ευρώπη. Έν… ",hanianews,"Χανιά, Ελλάς"
151,Καταγγελία για πλήρη αδιαφορία του ΕΟΔΥ σε κρούσμα κορονοϊού στη Ρόδο ,SporadesTv,sporades
152,Τρίπολη: Τρίτο κρούσμα στο 1ο Ημερήσιο ΓΕΛ – Αναστολή λειτουργίας έως 3/3/21 ,SporadesTv,sporades
153," Σήμερα,εμβολιαζομενος μου ανέφερε ότι τα πεθερικά του (&gt;75) έχοντας πάει προ ημερών σε κηδεία συγγενή (κ έπ… ",iceman58678761,Αθήνα
154,"Κρούσμα στο ΕΕΕΕΚ Αγ. Νικολάου:  Συνεχίζεται κανονικά η λειτουργία του σχολείου, σε καραντίνα επτά καθηγητές -… ",anatolhcom,Άγιος Νικόλαος Κρήτης
155, ΝΕΟΣ ΣΥΝΑΓΕΡΜΟΣ ΣΤΟ ΔΗΜΟ ΠΥΡΓΟΥ : Θετικός Αντιδήμαρχος - Νέα rapid test σε όλες τις υπηρεσίες του Δήμου: Άμεσα ήταν για ά…,2jkeg18On2y4aqw,Αμαλιαδα Ηλείας
156," Ναι μεν,αλλά όταν μέσα σε λίγο καιρό σκάει και δεύτερο κρούσμα παιδεραστιας στο περιβάλλον του πρωθυπου… ",Kapoioskapou5,
157,ΝΕΟΣ ΣΥΝΑΓΕΡΜΟΣ ΣΤΟ ΔΗΜΟ ΠΥΡΓΟΥ : Θετικός Αντιδήμαρχος - Νέα rapid test σε όλες τις υπηρεσίες του Δήμου: Άμεσα ήταν… ,IlidakamposG,ΑΜΑΛΙΑΔΑ ΗΛΕΙΑΣ
158,Νέο κρούσμα μαθητή στο Πράβι. ,Paggaionet,Greece
159,ΗΠΕΙΡΟΣ-ΕΙΔΗΣΗ:  «Καθαρό» από κρούσματα το Υπνωτήριο Αστέγων: Από τον προληπτικό έλεγχο που διενεργήθηκε δεν προέκυ… ,ioannina24,Ioannina
160,Κέρκυρα: Κρούσμα σε δασκάλα της β’ τάξης του 6ου Δημοτικού Σχολείου. ,corfutvnews,"Κέρκυρα, Ελλάς"
161,Κρούσμα κορωνοϊού στο ΕΕΕΕΚ Αγίου Νικολάου |  ,radiolasithi923,"Ierapetra, Greece"
162,Κρούσμα σε δασκάλα της β' τάξης του  6ου Δημοτικού Σχολείου Κέρκυρας -  ,StartmediaCorfu,"Κέρκυρα, Ελλάς"
163,Κρούσμα κορωνοϊού σε μαθητή του 9ου Νηπιαγωγείου Νέας Ιωνίας ,ASTRATV1,Volos
164, Κοντόνιο: Το σημείο...μηδέν από όπου ξεκίνησε η πανδημία στην Ευρώπη έναν χρόνο πριν   #Κόσμος #Ιταλία #κρούσμα #πανδημία #μάσκ…,AronisIoannis,"Frankfurt on the Main, Germany"
165,"Παρατηρήθηκε αύξηση στον αριθμό των επαφών που δηλώνονται από το κάθε κρούσμα, από 3-4 άτομα που δηλώνονταν κατά μέ… ",dialogoscy,"Nicosia, Cyprus"
166, Κοντόνιο: Το σημείο...μηδέν από όπου ξεκίνησε η πανδημία στην Ευρώπη έναν χρόνο πριν   #Κόσμος #Ιταλία #κρούσμα #πανδημία #μάσκ…,saitanasker,
